月見 (つきみ)
手足 (てあし)
手口 (てぐち)
手先 (てさき)
手下 (てした)
手本 (てほん)
天下 (てんか)
天気 (てんき)
天空 (てんくう)
天上 (てんじょう)
天女 (てんにょ)
天火 (てんぴ)
天日 (てんぴ)
天文 (てんもん)
出足 (であし)
出口 (でぐち)
出先 (でさき)
十日 (とおか)
年上 (としうえ)
年月 (としつき)
土足 (どそく)
土手 (どて)
土日 (どにち)
土木 (どぼく)
七日 (なのか)
男女 (なんにょ)
二十 (にじゅう)
日中 (にっちゅう)
二本 (にほん)
入学 (にゅうがく)
入金 (にゅうきん)
入手 (にゅうしゅ)
入力 (にゅうりょく)
人気 (にんき)
人足 (にんそく)
子年 (ねどし)
年休 (ねんきゅう)
年金 (ねんきん)
年月 (ねんげつ)
年中 (ねんじゅう)
白日 (はくじつ)
白人 (はくじん)
白金 (はっきん)
花火 (はなび)
花見 (はなみ)
早口 (はやくち)
早口 (はやくち)
左足 (ひだりあし)
左上 (ひだりうえ)
左下 (ひだりした)
左手 (ひだりて)
左目 (ひだりめ)
一足 (ひとあし)
一口 (ひとくち)
人手 (ひとで)
人出 (ひとで)
一人 (ひとり)
日日 (ひにち)
火花 (ひばな)
二人 (ふたり)
二日 (ふつか)
文月 (ふづき)
文月 (ふみづき)
文学 (ぶんがく)
文中 (ぶんちゅう)
下手 (へた)
本気 (ほんき)
本校 (ほんこう)
本山 (ほんざん)
本日 (ほんじつ)
本立 (ほんたて)
本土 (ほんど)
本人 (ほんにん)
本音 (ほんね)
本年 (ほんねん)
本文 (ほんぶん)
本名 (ほんみょう)
正木 (まさき)
正目 (まさめ)
町中 (まちじゅう)
町中 (まちぢゅう)
町中 (まちなか)
見入 (みい)
見出 (みいだ)
右足 (みぎあし)
右上 (みぎうえ)
右下 (みぎした)
右手 (みぎて)
右目 (みぎめ)
見下 (みくだ)
水気 (みずけ)
水玉 (みずたま)
水虫 (みずむし)
見出 (みだ)
三日 (みっか)
見本 (みほん)
名字 (みょうじ)
六日 (むいか)
名犬 (めいけん)
名月 (めいげつ)
名手 (めいしゅ)
名人 (めいじん)
名水 (めいすい)
名文 (めいぶん)
名目 (めいもく)
目上 (めうえ)
目先 (めさき)
目下 (めした)
目白 (めじろ)
目立 (めだ)
目玉 (めだま)
木目 (もくめ)
文字 (もじ)
本木 (もとき)
山川 (やまかわ)
山手 (やまて)
夕日 (ゆうひ)
八日 (ようか)
四日 (よっか)
力学 (りきがく)
林立 (りんりつ)
早生 (わせ)
合図 (あいず)
合間 (あいま)
赤毛 (あかげ)
赤線 (あかせん)
赤丸 (あかまる)
秋雨 (あきさめ)
朝市 (あさいち)
朝方 (あさがた)
朝日 (あさひ)
朝夕 (あさゆう)
